tool_ratio,qps,seed,policy,count,mean_wait,p95_wait,p99_wait,max_wait,starvation_count,mean_speedup_vs_fcfs,p95_speedup_vs_fcfs,p99_ratio_vs_fcfs
0.0,4.0,404,fcfs,500,6871.361,19644.763,20944.397,21421.216,246,1.0,1.0,1.0
0.0,4.0,404,pure_ltr,500,3093.319,13947.417,62819.862,79062.607,45,2.221,1.408,2.999
0.0,4.0,404,ltr_aging,500,4356.474,17599.691,25731.892,33342.785,148,1.577,1.116,1.229
0.0,4.0,404,tail_safe,500,6871.361,19644.763,20944.397,21421.216,246,1.0,1.0,1.0
0.0,4.0,404,gated_hybrid,500,4356.474,17599.691,25731.892,33342.785,148,1.577,1.116,1.229
0.0,5.0,404,fcfs,500,18816.058,38257.196,39711.314,40105.87,430,1.0,1.0,1.0
0.0,5.0,404,pure_ltr,500,8746.852,70789.107,109678.321,125329.526,77,2.151,0.54,2.762
0.0,5.0,404,ltr_aging,500,11940.389,39825.35,53836.526,56710.324,280,1.576,0.961,1.356
0.0,5.0,404,tail_safe,500,18816.058,38257.196,39711.314,40105.87,430,1.0,1.0,1.0
0.0,5.0,404,gated_hybrid,500,11940.389,39825.35,53836.526,56710.324,280,1.576,0.961,1.356
0.0,2.0,505,fcfs,500,229.724,937.369,1428.644,2167.863,0,1.0,1.0,1.0
0.0,2.0,505,pure_ltr,500,185.756,790.909,1181.944,2601.102,0,1.237,1.185,0.827
0.0,2.0,505,ltr_aging,500,187.314,823.015,1157.166,2601.102,0,1.226,1.139,0.81
0.0,2.0,505,tail_safe,500,229.724,937.369,1428.644,2167.863,0,1.0,1.0,1.0
0.0,2.0,505,gated_hybrid,500,187.314,823.015,1157.166,2601.102,0,1.226,1.139,0.81
0.0,3.0,505,fcfs,500,752.545,2449.618,3214.942,3532.494,0,1.0,1.0,1.0
0.0,3.0,505,pure_ltr,500,496.403,1421.545,5304.057,15134.968,6,1.516,1.723,1.65
0.0,3.0,505,ltr_aging,500,525.813,2302.337,3413.472,4877.985,0,1.431,1.064,1.062
0.0,3.0,505,tail_safe,500,752.545,2449.618,3214.942,3532.494,0,1.0,1.0,1.0
0.0,3.0,505,gated_hybrid,500,525.813,2302.337,3413.472,4877.985,0,1.431,1.064,1.062
0.0,4.0,505,fcfs,500,4145.576,8166.544,9567.002,9964.136,186,1.0,1.0,1.0
0.0,4.0,505,pure_ltr,500,1953.341,6152.33,39541.032,97477.892,29,2.122,1.327,4.133
0.0,4.0,505,ltr_aging,500,2545.523,8749.938,12152.976,13707.038,86,1.629,0.933,1.27
0.0,4.0,505,tail_safe,500,4145.576,8166.544,9567.002,9964.136,186,1.0,1.0,1.0
0.0,4.0,505,gated_hybrid,500,2545.523,8749.938,12152.976,13707.038,86,1.629,0.933,1.27
0.0,5.0,505,fcfs,500,16765.335,30703.052,31350.325,31598.465,451,1.0,1.0,1.0
0.0,5.0,505,pure_ltr,500,7279.503,61565.042,108901.876,123841.241,68,2.303,0.499,3.474
